DomainName,Error
cds.telecomcloud.us,Connection Timed out
cdsapi.telecomcloud.us,Connection Timed out
cdsdev.telecomcloud.us,Connection Timed out
centrepizzeriany.hungrytext.com,Connection Timed out
chatordering.com,"(None, '[Errno 2] No such file or directory')"
cherrytreegs.hungrytext.com,Connection Timed out
chuckecheese.hungrytext.com,Connection Timed out
classicthomaspizza.hungrytext.com,Connection Timed out
clickedtalk.com,"(None, '[Errno 2] No such file or directory')"
clintonsqpizza.hungrytext.com,Connection Timed out
cloudsips.com,"(None, '[Errno 2] No such file or directory')"
cnamdocker.tcpaas.com,"(None, '[Errno 2] No such file or directory')"
coronapizza.hungrytext.com,Connection Timed out
crazywillys.hungrytext.com,Connection Timed out
dangelospizza.hungrytext.com,Connection Timed out
danishouseofpizza.hungrytext.com,Connection Timed out
dannaspizzadeli.hungrytext.com,Connection Timed out
darospizzaandchicken.hungrytext.com,Connection Timed out
deliciaspizzaandchicken.hungrytext.com,Connection Timed out
deliverypooling.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
demo.onboardsoft.com,Connection Timed out
dev.onboardsoft.com,"(None, '[Errno 2] No such file or directory')"
dev.telecomcloud.us,Connection Timed out
devgorvm.telecomcloud.us,"(None, '[WinError 10061] No connection could be made because the target machine actively refused it')"
diaspanos.com,"(None, '[Errno 2] No such file or directory')"
didjobs.com,Connection Timed out
didmanager.com,"(None, '[Errno 2] No such file or directory')"
didordering.com,"(None, '[Errno 11001] getaddrinfo failed')"
didorigination.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didresources.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
didyou.com,"(None, '[Errno 2] No such file or directory')"
didyoueat.com,"(None, '[Errno 2] No such file or directory')"
didyoupay.com,"(None, '[Errno 2] No such file or directory')"
dolcesalato.hungrytext.com,Connection Timed out
dominicksdeli.hungrytext.com,"(None, '[Errno 11001] getaddrinfo failed')"
eatfreshkitchen.hungrytext.com,Connection Timed out
elmhurstfamouspizza.hungrytext.com,Connection Timed out
fiamma41.hungrytext.com,Connection Timed out
fontanafamous.hungrytext.com,Connection Timed out
fooddeliveryjob.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
fooddeliverypool.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
francescaspizzeria.hungrytext.com,Connection Timed out
fratellispizzeria.hungrytext.com,Connection Timed out
frescopizzeriaandrestaurant.hungrytext.com,Connection Timed out
freshmeadowspizzeria.hungrytext.com,Connection Timed out
gabriellasfamilypizza.hungrytext.com,Connection Timed out
genarospizzeriarestaurant.hungrytext.com,Connection Timed out
genesispizza.hungrytext.com,Connection Timed out
geospizzeriarestaurant.hungrytext.com,Connection Timed out
ggcatering.hungrytext.com,Connection Timed out
ggeatspos.hungrytext.com,Connection Timed out
gigispizza.hungrytext.com,Connection Timed out
ginospizzaofflushing.hungrytext.com,Connection Timed out
giovannispizzarestaurant.hungrytext.com,Connection Timed out
globex.telecomcloud.us,Connection Timed out
gracepizzaglendaleny.hungrytext.com,Connection Timed out
grandavepizza.hungrytext.com,Connection Timed out
graziellapizza.hungrytext.com,Connection Timed out
grimaldis-pizza.hungrytext.com,Connection Timed out
guyandgallard.hungrytext.com,Connection Timed out
hiclasspizza.hungrytext.com,Connection Timed out
hidalgomexicanastoria.hungrytext.com,Connection Timed out
himangonaturalmarket.hungrytext.com,Connection Timed out
hungryblockchain.com,"(None, '[Errno 2] No such file or directory')"
hungrychains.com,"(None, '[Errno 2] No such file or directory')"
hungrycoin.net,"(None, '[Errno 2] No such file or directory')"
hungrydrop.com,"(None, '[Errno 2] No such file or directory')"
hungrydrops.com,"(None, '[Errno 2] No such file or directory')"
hungrypasses.com,"(None, '[Errno 2] No such file or directory')"
hungrypos.com,"(None, '[Errno 2] No such file or directory')"
hungrytab.com,"(None, '[Errno 2] No such file or directory')"
hungrytabs.com,"(None, '[Errno 2] No such file or directory')"
hungrytexts.com,Connection Timed out
hungrytoken.com,"(None, '[Errno 2] No such file or directory')"
hungryvoice.com,"(None, '[Errno 2] No such file or directory')"
indianmasala.hungrytext.com,Connection Timed out
indianproject.hungrytext.com,Connection Timed out
ipdemo.hungrytext.com,Connection Timed out
ipitmi.telecomcloud.us,"(None, '[WinError 10061] No connection could be made because the target machine actively refused it')"
ivrordering.com,"(None, '[Errno 2] No such file or directory')"
jdpizza.hungrytext.com,Connection Timed out
joespizza.hungrytext.com,Connection Timed out
joesplacetoo.hungrytext.com,Connection Timed out
kennedychickenpizzakabab.hungrytext.com,Connection Timed out
kfhesterpizza.hungrytext.com,Connection Timed out
kickstartacure.com,"(None, '[Errno 2] No such file or directory')"
kickstartacure.net,"(None, '[Errno 2] No such file or directory')"
kickstartacure.org,"(None, '[Errno 2] No such file or directory')"
lamici.hungrytext.com,Connection Timed out
lareginapizzeria.hungrytext.com,Connection Timed out
larondine.hungrytext.com,Connection Timed out
lasperlas.hungrytext.com,Connection Timed out
lasperlassalvadorian.hungrytext.com,Connection Timed out
leads-cdrs.hungryvoice.com,Connection Timed out
localtermination.com,"(None, '[Errno 2] No such file or directory')"
luigispizzeria.hungrytext.com,Connection Timed out
mammalucianas.hungrytext.com,Connection Timed out
mammaspizzaandrestaurant.hungrytext.com,Connection Timed out
mariospizzeriarestaurant.hungrytext.com,Connection Timed out
martiniellospizzeria.hungrytext.com,Connection Timed out
mash.tcpaas.com,"(None, '[SSL: SSLV3_ALERT_BAD_CERTIFICATE] sslv3 alert bad certificate (_ssl.c:992)')"
matesepizzeriaristorantecaterers.hungrytext.com,Connection Timed out
maxsrestaurant.hungrytext.com,Connection Timed out
mb.hungrytext.com,Connection Timed out
mbdev.hungrytext.com,Connection Timed out
mexicosina.hungrytext.com,Connection Timed out
michaelandsonspizza.hungrytext.com,Connection Timed out
mikespizza.hungrytext.com,Connection Timed out
minitaliapizzeria.hungrytext.com,Connection Timed out
mobyskabob.hungrytabs.com,"(None, '[Errno 2] No such file or directory')"
moonstar.hungrytext.com,Connection Timed out
myfoodcoin.com,"(None, '[Errno 2] No such file or directory')"
mypizzachat.com,"(None, 'EOF occurred in violation of protocol (_ssl.c:992)')"
myvoipdialing.com,"(None, 'EOF occurred in violation of protocol (_ssl.c:992)')"
napoli.hungrytext.com,Connection Timed out
nocateesoccer.com,"(None, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:992)')"
nonnastrattoriapizzeria.hungrytext.com,Connection Timed out
novelty.software,"(None, 'EOF occurred in violation of protocol (_ssl.c:992)')"
noveltysoft.telecomcloud.us,Connection Timed out
nuwave.tcpaas.com,Connection Timed out
o1comm.telecomcloud.us,Connection Timed out
optp.hungrytext.com,Connection Timed out
orderingai.com,"(None, '[Errno 2] No such file or directory')"
orderingchatbot.com,"(None, '[Errno 2] No such file or directory')"
organicatyourdoor.hungrytext.com,Connection Timed out
otpt.net,"(None, '[Errno 2] No such file or directory')"
ozonepizzany.hungrytext.com,Connection Timed out
papajohnspizzany.hungrytext.com,Connection Timed out
parkwaypizza.hungrytext.com,Connection Timed out
patsyspizzeria.hungrytext.com,Connection Timed out
patterngrp.com,Connection Timed out
pbx.carriertermination.com,Connection Timed out
peppinospizzaandpasta.hungrytext.com,Connection Timed out
pestoff.me,"(None, '[Errno 2] No such file or directory')"
petespizzeriaandrestaurant.hungrytext.com,Connection Timed out
philandsons.hungrytext.com,Connection Timed out
phmx452.hungrytext.com,Connection Timed out
pibakerie.hungrytext.com,Connection Timed out
piccolosogno.hungrytext.com,Connection Timed out
pizzachat.co,"(None, '[Errno 2] No such file or directory')"
pizzaclubslicesandsquares.hungrytext.com,Connection Timed out
pizzagarden.hungrytext.com,Connection Timed out
pizzalandnj.hungrytext.com,Connection Timed out
pizzamaruny.hungrytext.com,Connection Timed out
pizzapastacity.hungrytext.com,Connection Timed out
pizzeriasirenetta.hungrytext.com,Connection Timed out
